ResponseId,l_effort_1,l_strategy_1,l_help_1,l_mastery_1,l_interest_1,l_failure_good_1,,,l_effort_2,l_strategy_2,l_help_2,l_mastery_2,l_interest_2,l_failure_good_2
1,0,2,0,1,0,1,,1,0,2,0,2,0,0
2,2,0,1,0,0,1,,2,2,0,1,0,0,1
3,0,0,2,1,0,0,,3,0,0,2,1,0,0
4,2,1,0,0,0,0,,4,2,1,0,0,0,0
5,2,0,0,0,0,0,,5,2,0,0,0,0,0
6,0,0,2,1,0,0,,6,1,0,2,0,0,0
7,0,0,2,0,0,1,,7,0,0,2,0,0,1
8,3,0,1,0,0,0,,8,0,3,1,0,0,0
9,1,0,1,0,0,0,,9,0,0,1,1,0,0
10,2,1,1,0,0,0,,10,2,0,1,1,0,0
11,0,1,1,0,0,0,,11,0,1,1,0,0,0
12,0,0,0,0,0,0,,12,0,0,0,0,0,0
13,0,0,1,0,0,0,,13,0,0,1,0,0,0
14,0,0,1,1,0,0,,14,0,1,1,1,0,0
15,0,1,1,0,0,1,,15,0,0,1,1,0,1
16,0,0,1,0,0,2,,16,0,0,1,1,0,0
17,0,0,0,2,0,0,,17,1,2,0,0,0,0
18,1,0,0,0,0,1,,18,1,0,0,0,0,1
19,1,1,1,0,0,0,,19,1,1,1,0,0,0
20,0,0,2,0,0,0,,20,0,0,1,0,0,0
21,0,0,1,0,0,0,,21,0,0,1,0,0,0
22,1,0,0,0,0,0,,22,1,0,0,1,0,0
23,0,1,2,1,0,0,,23,0,1,2,1,0,0
24,1,1,1,0,0,0,,24,1,1,1,1,0,0
25,3,1,1,0,0,0,,25,3,1,1,0,0,0
26,0,1,1,1,0,0,,26,0,2,1,1,0,0
27,0,0,1,0,0,0,,27,0,0,1,0,0,1
28,0,0,0,0,0,0,,28,0,0,0,0,0,0
29,2,2,1,0,0,0,,29,2,2,1,1,0,0
30,1,0,2,1,0,0,,30,1,0,2,1,0,0